Collection,Name,Year,TV,Film,4K,Blu-ray,3D,DVD,Label,Director,Notes
,"Adventures of Sharkboy and Lavagirl in 3-D, The",2005,,✓,,,,✓,Sony Pictures,Robert Rodriguez,
,Parasite,2019,,✓,✓,✓,,,Curzon Artificial Eye,Bong Joon-ho,Colour version; 4K disc plus a colour Blu-ray
,Parasite (Black and White Version),2019 / 2020,,✓,,✓,,,Curzon Artificial Eye,Bong Joon-ho,On its own Blu-ray in the same package
,Knives Out,2019,,✓,,✓,,,Lionsgate,Rian Johnson,
,Kingdom of Heaven (Director's Cut),2005 / 2006,,✓,✓,✓,,,20th Century Fox,Ridley Scott,4K disc
Che,Che: Part One,2008,,✓,,✓,,,Optimum Home Entertainment,Steven Soderbergh,
Che,Che: Part Two,2008,,✓,,✓,,,Optimum Home Entertainment,Steven Soderbergh,
,Rushmore,1998,,✓,,✓,,,Criterion,Wes Anderson,
Tetsuo,Tetsuo: The Iron Man,1989,,✓,,✓,,,Third Window Films,Shinya Tsukamoto,
Tetsuo,Tetsuo II: Body Hammer,1992,,✓,,✓,,,Third Window Films,Shinya Tsukamoto,
,Master and Commander: The Far Side of the World,2003,,✓,✓,✓,,,20th Century Fox,Peter Weir,
,Jaws,1975,,✓,✓,✓,,,Universal,Steven Spielberg,
,One Flew Over the Cuckoo's Nest,1975,,✓,✓,✓,,,Warner Bros.,Miloš Forman,
,Creep,2014,,✓,,✓,,,Second Sight,Patrick Brice,"Second Sight standard edition, 2NDBR4237"
,"Pianist, The",2002,,✓,✓,✓,,,StudioCanal,Roman Polanski,
,Fantastic Mr. Fox,2009,,✓,,,,✓,20th Century Fox,Wes Anderson,
,Asteroid City,2023,,✓,,✓,,,Universal,Wes Anderson,
,"Life Aquatic with Steve Zissou, The",2004,,✓,,✓,,,Criterion,Wes Anderson,
,Joint Security Area,2000,,✓,,✓,,,Arrow Video,Park Chan-wook,
,Palestine 36,2025,,✓,,✓,,,Curzon,Annemarie Jacir,
"Mummy Trilogy, The","Mummy, The",1999,,✓,✓,✓,,,Universal,Stephen Sommers,
"Mummy Trilogy, The","Mummy Returns, The",2001,,✓,✓,✓,,,Universal,Stephen Sommers,
"Mummy Trilogy, The","Mummy: Tomb of the Dragon Emperor, The",2008,,✓,✓,✓,,,Universal,Rob Cohen,
,Godzilla: King of the Monsters,2019,,✓,✓,✓,,,Warner Bros.,Michael Dougherty,
,Lawrence of Arabia,1962,,✓,,✓,,,Sony Pictures,David Lean,
,"Princess Bride, The",1987,,✓,,✓,,,Lionsgate,Rob Reiner,
,"Lighthouse, The",2019,,✓,✓,,,,Arrow Video,Robert Eggers,
,12 Monkeys,1995,,✓,✓,,,,Arrow Video,Terry Gilliam,
,2001: A Space Odyssey,1968,,✓,✓,✓,,,Warner Bros.,Stanley Kubrick,
,Jane Eyre,2006,✓,,,,,✓,BBC,Susanna White,BBC miniseries; written by Sandy Welch
Universal Monsters: The Essential Collection,Dracula,1931,,✓,,✓,,,Universal,Tod Browning,
Universal Monsters: The Essential Collection,Frankenstein,1931,,✓,,✓,,,Universal,James Whale,
Universal Monsters: The Essential Collection,"Mummy, The",1932,,✓,,✓,,,Universal,Karl Freund,
Universal Monsters: The Essential Collection,"Invisible Man, The",1933,,✓,,✓,,,Universal,James Whale,
Universal Monsters: The Essential Collection,"Bride of Frankenstein, The",1935,,✓,,✓,,,Universal,James Whale,
Universal Monsters: The Essential Collection,"Wolf Man, The",1941,,✓,,✓,,,Universal,George Waggner,
Universal Monsters: The Essential Collection,Phantom of the Opera,1943,,✓,,✓,,,Universal,Arthur Lubin,
Universal Monsters: The Essential Collection,Creature from the Black Lagoon,1954,,✓,,✓,,,Universal,Jack Arnold,
,10 Cloverfield Lane,2016,,✓,,✓,,,Paramount,Dan Trachtenberg,
,Scream,1996,,✓,✓,✓,,,Paramount,Wes Craven,
,Mad Max: Fury Road,2015,,✓,✓,✓,,,Warner Bros.,George Miller,
,Rio Grande,1950,,✓,,✓,,,Eureka,John Ford,
,"Silence of the Lambs, The",1991,,✓,✓,,,,Arrow Video,Jonathan Demme,
,"Third Man, The",1949,,✓,,✓,,,StudioCanal,Carol Reed,
,"Departed, The",2006,,✓,,✓,,,Warner Bros.,Martin Scorsese,
,"Night of the Hunter, The",1955,,✓,,✓,,,Criterion,Charles Laughton,
,"Ten Commandments, The",1956,,✓,✓,✓,,,Paramount,Cecil B. DeMille,
,"Northman, The",2022,,✓,✓,✓,,,Universal,Robert Eggers,
Dragon Ball Z Movie Collection 1-13 + TV Specials,Dragon Ball Z: Dead Zone,1989,,✓,,✓,,,Manga Entertainment,Daisuke Nishio,
Dragon Ball Z Movie Collection 1-13 + TV Specials,"Dragon Ball Z: World's Strongest, The",1990,,✓,,✓,,,Manga Entertainment,Daisuke Nishio,
Dragon Ball Z Movie Collection 1-13 + TV Specials,"Dragon Ball Z: Tree of Might, The",1990,,✓,,✓,,,Manga Entertainment,Daisuke Nishio,
Dragon Ball Z Movie Collection 1-13 + TV Specials,Dragon Ball Z: Lord Slug,1991,,✓,,✓,,,Manga Entertainment,Mitsuo Hashimoto,
Dragon Ball Z Movie Collection 1-13 + TV Specials,Dragon Ball Z: Cooler's Revenge,1991,,✓,,✓,,,Manga Entertainment,Mitsuo Hashimoto,
Dragon Ball Z Movie Collection 1-13 + TV Specials,"Dragon Ball Z: Return of Cooler, The",1992,,✓,,✓,,,Manga Entertainment,Daisuke Nishio,
Dragon Ball Z Movie Collection 1-13 + TV Specials,Dragon Ball Z: Super Android 13,1992,,✓,,✓,,,Manga Entertainment,Daisuke Nishio,
Dragon Ball Z Movie Collection 1-13 + TV Specials,Dragon Ball Z: Bojack Unbound,1993,,✓,,✓,,,Manga Entertainment,Yoshihiro Ueda,
Dragon Ball Z Movie Collection 1-13 + TV Specials,Dragon Ball Z: Broly - The Legendary Super Saiyan,1993,,✓,,✓,,,Manga Entertainment,Shigeyasu Yamauchi,
Dragon Ball Z Movie Collection 1-13 + TV Specials,Dragon Ball Z: Broly - Second Coming,1994,,✓,,✓,,,Manga Entertainment,Shigeyasu Yamauchi,
Dragon Ball Z Movie Collection 1-13 + TV Specials,Dragon Ball Z: Bio-Broly,1994,,✓,,✓,,,Manga Entertainment,Yoshihiro Ueda,
Dragon Ball Z Movie Collection 1-13 + TV Specials,Dragon Ball Z: Fusion Reborn,1995,,✓,,✓,,,Manga Entertainment,Shigeyasu Yamauchi,
Dragon Ball Z Movie Collection 1-13 + TV Specials,Dragon Ball Z: Wrath of the Dragon,1995,,✓,,✓,,,Manga Entertainment,Mitsuo Hashimoto,
Dragon Ball Z Movie Collection 1-13 + TV Specials,Dragon Ball Z: Bardock - The Father of Goku,1990,✓,,,✓,,,Manga Entertainment,Mitsuo Hashimoto,TV special
Dragon Ball Z Movie Collection 1-13 + TV Specials,"Dragon Ball Z: History of Trunks, The",1993,✓,,,✓,,,Manga Entertainment,Yoshihiro Ueda,TV special
,"Last Emperor, The",1987,,✓,✓,,,,Arrow Video,Bernardo Bertolucci,Standard Edition; theatrical cut
,Blade Runner (Final Cut),1982 / 2007,,✓,✓,✓,,,Warner Bros.,Ridley Scott,
,"Hateful Eight, The",2015,,✓,,✓,,,Entertainment In Video,Quentin Tarantino,
,Full Metal Jacket,1987,,✓,✓,✓,,,Warner Bros.,Stanley Kubrick,
,Us,2019,,✓,✓,✓,,,Universal,Jordan Peele,
,Event Horizon,1997,,✓,✓,✓,,,Paramount,Paul W. S. Anderson,
,Das Cabinet des Dr. Caligari,1920,,✓,✓,,,,Eureka,Robert Wiene,
,Paprika,2006,,✓,,✓,,,Manga Entertainment,Satoshi Kon,
,Unforgiven,1992,,✓,✓,✓,,,Warner Bros.,Clint Eastwood,
,Shin Godzilla,2016,,✓,,✓,,,Manga Entertainment,Hideaki Anno; Shinji Higuchi,
,Anatomy of a Murder,1959,,✓,,✓,,,Criterion,Otto Preminger,
,Young Mr. Lincoln,1939,,✓,,,,✓,Criterion,John Ford,
,Hearts and Minds,1974,,✓,,✓,,,Criterion,Peter Davis,Documentary
Angel: The Complete Collection,Angel: Season 1,1999,✓,,,,,✓,20th Century Fox,David Greenwalt,
Angel: The Complete Collection,Angel: Season 2,2000,✓,,,,,✓,20th Century Fox,David Greenwalt,
Angel: The Complete Collection,Angel: Season 3,2001,✓,,,,,✓,20th Century Fox,David Greenwalt,
Angel: The Complete Collection,Angel: Season 4,2002,✓,,,,,✓,20th Century Fox,David Greenwalt; Jeffrey Bell,
Angel: The Complete Collection,Angel: Season 5,2003,✓,,,,,✓,20th Century Fox,Jeffrey Bell,
,Spartacus,1960,,✓,✓,✓,,,Universal,Stanley Kubrick,
,Ran,1985,,✓,✓,✓,,,StudioCanal,Akira Kurosawa,
,King Kong,1933,,✓,,✓,,,Warner Bros.,Merian C. Cooper; Ernest B. Schoedsack,WB Premium Collection no. 11
